label,itemid,shopid,name,price,userid,anonymous,commentTime,is_hidden,orderid,comment_rating_star,comment,product_SKU
16,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3041157,TRUE,2021/07/03,FALSE,7.76E+13,5,"價格經濟實惠，東西還不錯，防疫期間出貨速度還OK,下次會再回購",['']
17,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,12997592,TRUE,2021/06/16,FALSE,7.69E+13,5,櫛瓜本人新鮮可口！地瓜還沒吃！價格非常實惠！下次想吃會再回購！推薦大家！,['']
18,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,1956700,TRUE,2021/07/16,FALSE,7.99E+13,5,出貨速度很快，蔬果也很新鮮。回應速度也很快！是個誠信的賣家！很推薦大家購買喔！,['']
19,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,89173751,TRUE,2021/07/03,FALSE,7.87E+13,5,出貨速度很快^n雖然送來的時候斷了一根櫛瓜^n但是店家說下次會補償^n大推????????????^n重點櫛瓜超好吃,['']
20,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,416004645,TRUE,2021/07/27,FALSE,8.08E+13,5,"品質很好,很優,價格也可以,值得購買,下次一定會再回購,且會推薦好友們",['']
21,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,8227310,TRUE,2021/09/17,FALSE,8.49E+13,5,寄件速度算快，東西看得出來很新鮮，櫛瓜、玉米筍都好吃。不過需要自己再清潔整理過才能進冰箱。,['']
22,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,4185800,TRUE,2021/07/20,FALSE,8.02E+13,5,無濾鏡直出畫面，一看就知道超新鮮，最喜歡櫛瓜了！耶！,['']
23,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3332622,TRUE,2021/07/23,FALSE,8.06E+13,5,超快就寄出了！！！^n而且蔬菜都很漂亮！,['']
24,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3099648,TRUE,2021/11/01,FALSE,8.90E+13,5,賣家出貨快速，購買的櫛瓜，玉米都很好吃，而且商品有點問題，反應馬上會回覆，態度良好，很負責，會再購買,['']
25,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,31992979,FALSE,2021/10/20,FALSE,8.83E+13,5,"這是我第三次買，滿懷希望的收到貨，打開箱，地瓜很不ok，我買15斤地瓜，不是3種地瓜嗎？結果寄來的全是紫地瓜，小條還算新鮮，中條很多爛掉,我就趕快削來煮，其他 蔬菜我還沒煮，不知怎樣？希 望好吃，謝謝",['']
26,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,89522606,TRUE,2022/02/15,FALSE,9.62E+13,5,超讚的出貨速度，超讚的cp值，超讚的商品品質，值得再次回購。,['']
27,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,13852103,TRUE,2021/09/01,FALSE,8.20E+13,5,是個值得信任好賣家，購買的貨品品質不錯，貨品包裝的非常好！有機會會再購買~謝謝,['']
28,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,3129309,TRUE,2021/06/13,FALSE,7.67E+13,5,櫛瓜買了一斤、蘿蔔一斤，金瓜一斤、三根水果玉米，這個量適合我們小家庭。賣家出貨前有通知，其實到貨速度滿快的。,['']
29,8149633152,198172756,櫛瓜1斤100元 安全無毒櫛瓜 未檢出 黃色綠色隨機出（櫛瓜如果沒有會換水果彩椒同等價格）,100,8938599,TRUE,2021/06/29,FALSE,7.84E+13,5,很新鮮，收到立刻煎了櫛瓜來吃，非常好吃！而且賣家服務及態度都非常好！大推！之後會一直持續訂的~?謝謝~,['']
