label,shopid,
1,198172756,
2,198172756,
3,198172756,
4,198172756,
5,198172756,
6,198172756,
7,198172756,
8,198172756,
9,198172756,
10,198172756,
11,198172756,
12,198172756,
13,198172756,
14,198172756,
15,198172756,
16,198172756,
17,198172756,
18,198172756,
19,198172756,
20,198172756,
21,198172756,
22,198172756,
23,198172756,
24,198172756,
25,198172756,
26,198172756,
27,198172756,
28,198172756,
29,198172756,
30,198172756,
31,198172756,
32,198172756,
33,198172756,
34,198172756,
35,198172756,
36,198172756,
37,198172756,
38,198172756,
39,198172756,
40,198172756,
41,198172756,
42,198172756,
43,198172756,
44,198172756,
45,198172756,
46,198172756,
47,198172756,
48,198172756,
49,198172756,
50,198172756,
51,198172756,
52,198172756,
53,198172756,
54,198172756,
55,198172756,
56,198172756,
57,198172756,
58,198172756,
59,198172756,
60,198172756,
61,198172756,
62,198172756,
63,198172756,
64,198172756,
65,198172756,
66,198172756,
67,198172756,
68,198172756,
69,198172756,
70,198172756,
71,198172756,
72,198172756,
73,198172756,
74,198172756,
75,198172756,
76,198172756,
77,198172756,
78,198172756,
79,198172756,
80,198172756,
81,198172756,
82,198172756,
83,198172756,
84,198172756,
85,198172756,
86,198172756,
87,198172756,
88,198172756,
89,198172756,
90,198172756,
91,198172756,
92,198172756,
93,198172756,
94,198172756,
95,198172756,
96,198172756,
97,198172756,
98,198172756,
99,198172756,
100,198172756,
101,198172756,
102,198172756,
103,198172756,
104,198172756,
105,198172756,
106,198172756,
107,198172756,
108,198172756,
109,198172756,
110,198172756,
111,198172756,
112,198172756,
113,198172756,
114,198172756,
115,198172756,
116,198172756,
117,198172756,
118,198172756,
119,198172756,
120,198172756,
121,198172756,
122,198172756,
123,198172756,
124,198172756,
125,198172756,
126,198172756,
127,198172756,
128,198172756,
129,198172756,
130,198172756,
131,198172756,
132,198172756,
133,198172756,
134,198172756,
135,198172756,
136,198172756,
137,198172756,
138,198172756,
139,198172756,
140,198172756,
141,198172756,
142,198172756,
143,198172756,
144,198172756,
145,198172756,
146,198172756,
147,198172756,
148,198172756,
149,198172756,
150,198172756,
151,198172756,
152,198172756,
153,198172756,
154,198172756,
155,198172756,
156,198172756,
157,198172756,
158,198172756,
159,198172756,
160,198172756,
161,198172756,
162,198172756,
163,198172756,
164,198172756,
165,198172756,
166,198172756,
167,198172756,
168,198172756,
169,198172756,
170,198172756,
171,198172756,
172,198172756,
173,198172756,
174,198172756,
175,198172756,
176,198172756,
177,198172756,
178,198172756,
179,198172756,
180,198172756,
181,198172756,
182,198172756,
183,198172756,
184,198172756,
185,198172756,
186,198172756,
187,198172756,
188,198172756,
189,198172756,
190,198172756,
191,198172756,
192,198172756,
193,198172756,
194,198172756,
195,198172756,
196,198172756,
197,198172756,
198,198172756,
199,198172756,
200,198172756,
201,198172756,
202,198172756,
203,198172756,
204,198172756,
205,198172756,
206,198172756,
207,198172756,
208,198172756,
209,198172756,
210,198172756,
211,198172756,
212,198172756,
213,198172756,
214,198172756,
215,198172756,
216,198172756,
217,198172756,
218,198172756,
219,198172756,
220,198172756,
221,198172756,
222,198172756,
223,198172756,
224,198172756,
225,198172756,
226,198172756,
227,198172756,
228,198172756,
229,198172756,
230,198172756,
231,198172756,
232,198172756,
